forecast_created_at,target_date,series_id,model_name,model_version,point_forecast,lower_bound,upper_bound,training_start,training_end,backtest_mae,backtest_mape,observations_used,data_frequency
2026-08-04T05:05:44Z,2024-08-01,McCallum DRAM (historical),naive_last_value,1.0.0,1.53,0.0,92.413191,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-04T05:05:44Z,2026-08-01,DDR3 (Keepa),rolling_mean_3,1.0.0,3.511147,1.200543,5.82175,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-04T05:05:44Z,2026-08-01,DDR4 (Keepa),drift,1.0.0,8.732697,6.514371,10.951023,2024-08-01,2026-07-01,0.843063,17.5297,24,monthly
2026-08-04T05:05:44Z,2026-08-01,DDR5 (Keepa),naive_last_value,1.0.0,11.40609,7.16969,15.64249,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-04T05:05:44Z,2026-08-01,DRAM cheapest (Keepa),rolling_mean_3,1.0.0,3.511147,1.632325,5.389968,2024-08-01,2026-07-01,0.698503,19.4205,24,monthly
2026-08-04T05:05:44Z,2026-08-01,NAND cheapest (Keepa),naive_last_value,1.0.0,0.105,0.090344,0.119656,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-04T18:01:26Z,2024-08-01,McCallum DRAM (historical),naive_last_value,1.1.0,1.53,0.0,92.413191,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-04T18:01:26Z,2024-10-01,McCallum DRAM (historical),naive_last_value,1.1.0,1.53,0.0,158.944304,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-04T18:01:26Z,2025-01-01,McCallum DRAM (historical),naive_last_value,1.1.0,1.53,0.0,224.147444,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-04T18:01:26Z,2026-08-01,DDR3 (Keepa),rolling_mean_3,1.1.0,3.511147,1.200543,5.82175,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-04T18:01:26Z,2026-08-01,DDR4 (Keepa),drift,1.1.0,8.732697,6.514371,10.951023,2024-08-01,2026-07-01,0.843063,17.5297,24,monthly
2026-08-04T18:01:26Z,2026-08-01,DDR5 (Keepa),naive_last_value,1.1.0,11.40609,7.16969,15.64249,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-04T18:01:26Z,2026-08-01,DRAM cheapest (Keepa),rolling_mean_3,1.1.0,3.511147,1.632325,5.389968,2024-08-01,2026-07-01,0.698503,19.4205,24,monthly
2026-08-04T18:01:26Z,2026-08-01,NAND cheapest (Keepa),naive_last_value,1.1.0,0.105,0.090344,0.119656,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-04T18:01:26Z,2026-10-01,DDR3 (Keepa),rolling_mean_3,1.1.0,3.496204,0.0,7.498286,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-04T18:01:26Z,2026-10-01,DDR4 (Keepa),drift,1.1.0,9.385591,5.543338,13.227844,2024-08-01,2026-07-01,0.843063,17.5297,24,monthly
2026-08-04T18:01:26Z,2026-10-01,DDR5 (Keepa),naive_last_value,1.1.0,11.40609,4.068429,18.743751,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-04T18:01:26Z,2026-10-01,DRAM cheapest (Keepa),rolling_mean_3,1.1.0,3.496204,0.24199,6.750418,2024-08-01,2026-07-01,0.698503,19.4205,24,monthly
2026-08-04T18:01:26Z,2026-10-01,NAND cheapest (Keepa),naive_last_value,1.1.0,0.105,0.079615,0.130385,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-04T18:01:26Z,2027-01-01,DDR3 (Keepa),rolling_mean_3,1.1.0,3.507495,0.0,9.167294,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-04T18:01:26Z,2027-01-01,DDR4 (Keepa),drift,1.1.0,10.364932,4.931166,15.798698,2024-08-01,2026-07-01,0.843063,17.5297,24,monthly
2026-08-04T18:01:26Z,2027-01-01,DDR5 (Keepa),naive_last_value,1.1.0,11.40609,1.029071,21.783109,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-04T18:01:26Z,2027-01-01,DRAM cheapest (Keepa),rolling_mean_3,1.1.0,3.507495,0.0,8.109648,2024-08-01,2026-07-01,0.698503,19.4205,24,monthly
2026-08-04T18:01:26Z,2027-01-01,NAND cheapest (Keepa),naive_last_value,1.1.0,0.105,0.0691,0.1409,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
2026-08-10T21:51:51Z,2024-08-01,McCallum DRAM (historical),naive_last_value,2.0.0,1.53,0.0,99.03,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-10T21:51:51Z,2024-10-01,McCallum DRAM (historical),naive_last_value,2.0.0,1.53,0.0,170.404954,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-10T21:51:51Z,2025-01-01,McCallum DRAM (historical),naive_last_value,2.0.0,1.53,0.0,240.35525,1957-01-01,2024-07-01,15.515971,12.2578,411,monthly
2026-08-10T21:51:51Z,2026-08-01,DDR3 (Keepa),rolling_mean_3,2.0.0,3.511147,1.318147,5.704147,2024-08-01,2026-07-01,0.769608,19.9497,24,monthly
2026-08-10T21:51:51Z,2026-08-01,DDR4 (Keepa),naive_last_value,2.0.0,8.40625,6.088057,10.724443,2024-08-01,2026-07-01,0.849011,17.6204,24,monthly
2026-08-10T21:51:51Z,2026-08-01,DDR5 (Keepa),naive_last_value,2.0.0,11.40609,7.809311,15.002869,2024-08-01,2026-07-01,1.823927,23.4686,24,monthly
2026-08-10T21:51:51Z,2026-08-01,DRAM cheapest (Keepa),theta,2.0.0,3.61593,1.535831,5.696028,2024-08-01,2026-07-01,0.682677,20.0705,24,monthly
2026-08-10T21:51:51Z,2026-08-01,NAND cheapest (Keepa),naive_last_value,2.0.0,0.105,0.092699,0.117301,2016-10-01,2026-07-01,0.004687,8.1543,118,monthly
